,cpi_overall_yoy_pct,cpi_food_yoy_pct,cpi_shelter_yoy_pct,cpi_transportation_yoy_pct,pce_total_yoy_pct,disposable_income_yoy_pct
cpi_overall_yoy_pct,1.0,0.8189706251047564,0.5385101068277606,0.8228372046579223,0.6601206619746901,-0.3075877027881395
cpi_food_yoy_pct,0.8189706251047564,1.0,0.5824795879971337,0.4157922006438591,0.2840512628411138,-0.05294027728991779
cpi_shelter_yoy_pct,0.5385101068277606,0.5824795879971337,1.0,0.08344037425477233,0.18677454933438248,0.019789252222314077
cpi_transportation_yoy_pct,0.8228372046579223,0.4157922006438591,0.08344037425477233,1.0,0.7903073087446121,-0.3982183075674084
pce_total_yoy_pct,0.6601206619746901,0.2840512628411138,0.18677454933438248,0.7903073087446121,1.0,-0.2302374751077513
disposable_income_yoy_pct,-0.3075877027881395,-0.05294027728991779,0.019789252222314077,-0.3982183075674084,-0.2302374751077513,1.0
